Geladeira;preco;preco_desconto;parcelas;valor_parcela
Geladeira Philco Frost Free Multi Door 4 Portas PFR500I 482 Litros;5.099,00;5.099,00;1;5.099,00
Refrigerador de 02 Portas Electrolux Frost Free com 431 Litros Inverter Top Freezer Platinum - IF55S;4.999,00;4.824,63;12;402,05
Geladeira/Refrigerador Frost Free 450 Litros Consul CRM56HB Branca 127V;3.857,64;3.278,99;10;385,76
Refrigerador Brastemp Frost Free Duplex 400 Litros com Freeze Control Branco BRM54HB  220 Volts;3.764,04;3.199,43;12;313,67
Refrigerador Electrolux Frost Free 382 Litros Top Freezer com Dispenser de Água Platinum TW42S  220 Volts;3.698,05;3.143,34;12;308,17
Geladeira Continental TC44S Frost Free 394L;3.499,90;2.969,91;12;274,99
Geladeira Samsung Evolution RT38 Inverter Duplex 385 Litros Frost Free;3.699,00;3.699,00;1;3.699,00
Geladeira Electrolux Frost Free Top Freezer 2 Portas TF55S 431 Litros;3.299,00;3.299,00;1;3.299,00
Geladeira Consul Cycle Defrost Duplex 334 litros Branca com Freezer Supercapacidade;2.609,00;2.469,00;12;205,75
Geladeira/Refrigerador Smart Side by Side ThinQ 601 Litros LG GC-L247SLUV Aço Escovado 127V;12.346,89;10.494,86;10;1.234,69
Geladeira Samsung French Door 530 Litros Inox 110V RF23R6301SR/AZ;22.798,80;15.749,10;12;1.458,25
Refrigerador 385 Litros 2 Portas RT38K5A0KWW/FZ Frost Free Samsung;4.295,90;3.489,16;10;375,18
Geladeira Refrigerador Panasonic 387 Litros Frost Free 2 Portas;2.999,90;2.519,91;12;233,33
Geladeira Refrigerador Consul 1 Porta Degelo Seco Simples 261 Litros CRA30FBANA;1.699,00;1.699,00;1;1.699,00
Geladeira Electrolux Frost Free Top Freezer 2 Portas TF56S 474 Litros;4.221,11;4.221,11;1;4.221,11
Gaveta freezer refrigerador panasonic nr-bb52;398,00;370,14;12;33,17
Geladeira Brastemp Frost Free BRM44HB 375L;2.999,90;2.609,91;12;241,66
Geladeira panasonic 2 portas bt50 aço escovado 435l - 127v;3.222,00;3.222,00;1;3.222,00
Gaveta freezer refrigerador panasonic nr-bb51;397,00;369,21;12;33,08
Geladeira/Refrigerador Brastemp 540 Litros 3 Portas Frost Free Side by Side Inverse BRO80AK;6.498,00;6.498,00;1;6.498,00
Refrigerador 474L Electrolux Top Freezer Frost Free Df56;4.882,90;3.909,72;10;420,40
Geladeira CRM56HB Frost Free Duplex 450 Litros Com Espaço Flex Consul;3.198,00;3.198,00;1;3.198,00
Geladeira/Refrigerador Philco Frost Free;9.999,00;7.504,91;10;789,99
Geladeira CRM50HB Frost Free Duplex 410 Litros Com Espaço Flex Consul;2.848,00;2.848,00;1;2.848,00
Geladeira Brastemp BRM44HK Frost Free 375 Litros Inox 220V;3.599,00;3.015,00;12;279,17
Geladeira/Refrigerador Frost Free 375L Brastemp BRM45HB Branca 127V;3.471,77;3.471,77;1;3.471,77
Refrigerador Esmaltec 276 Litros RCD34 Duplex - Branco;2.309,00;1.975,05;1;1.975,05
Geladeira/Refrigerador Smart Electrolux;27.439,00;18.619,05;10;1.959,90
Geladeira/Refrigerador Frost Free 310 Litros Electrolux TF39S Platinum 127V;3.471,77;3.471,77;1;3.471,77
Geladeira Panasonic Frost Free 480L NR-BB71PVFX Inox;4.599,00;4.534,90;10;453,49
Refrigerador Panasonic 483 Litros NR-BT55PV2X Frost Free;5.198,94;3.599,90;12;299,99
Refrigerador Multidoor Electrolux Home Pro de 03 Portas Frost Free com 538 Litros e Tecnologia Inverter, Inox - DM86X;14.627,35;12.994,00;12;1.082,83
Geladeira Refrigerador Brastemp 443 Litros 2 Portas Frost Free;4.999,90;4.229,91;12;391,66
Geladeira Continental Frost Free Branca 370L TC41;2.649,00;2.649,00;1;2.649,00
Refrigerador Metalfrio 97 Litros Counter Top para Bebidas All Black VB11RL  127 Volts;3.086,23;2.623,30;12;257,19
Refrigerador Electrolux Duplex Top Freezer 474L Frost Free Branco 127V DF56;4.699,00;3.679,00;12;360,69
Geladeira Samsung Inverter RT6000K 460 Litros Black Inox Look Bivolt RT46K6A4KBS/FZ;5.099,00;4.589,10;12;424,92
Geladeira Panasonic Frost Free 387L Duplex 2 Portas Regeneration;2.499,00;2.499,00;1;2.499,00
Geladeira Consul Frost Free Duplex 340 litros Evox com Prateleiras Altura Flex;3.209,00;3.209,00;1;3.209,00
Geladeira Frost Free Consul CRM50HB 410 Litros Espaço Flex Branca 110V;3.199,00;2.852,10;12;264,08
Refrigerador/Expositor Vertical Gelopar GPTU-40 Frost Free 414 L Preto;4.769,99;4.531,49;12;397,50
Refrigerador 460 Litros 2 Portas RT46K6A4KS9/FZ Frost Free Samsung;5.813,90;4.721,61;10;507,70
Refrigerador Continental Duplex Frost Free 370L Branco 220V;2.899,00;2.464,15;12;241,58
Geladeira/Refrigerador Samsung Frost Free Duplex;7.979,00;4.939,91;10;519,99
Refrigerador Expositor Vertical Metalfrio All Black 296 Litros VB28R 220V 220V;3.999,00;3.599,10;12;333,25
Refrigerador Brastemp 2 Porta Evox 375l Frost Free 220v;3.645,88;3.099,00;12;303,82
Refrigerador Geladeira Brastemp 2 Portas Frost Free Inverse 443L BRE57AB;5.199,90;3.824,92;10;449,99
Geladeira Refrigerador CRM43NK Duplex Frost Free 386 Litros Consul;2.948,00;2.948,00;1;2.948,00
Borracha Geladeira Continental Porta e Freezer Rcct495;199,90;185,91;3;66,63
GeladeiraRefrigerador Electrolux Automático Duplex 431 Litros TF55 Top Freezer;4.399,90;3.697,42;10;434,99
Refrigerador Samsung 470 Litros 3 Portas Frost Free Syde Inverse RF49A5202S9;10.628,90;8.855,46;10;952,20
Geladeira Refrigerador Consul 261 Litros 1 Porta Degelo Seco Classe A CRA30F;2.066,90;1.674,00;10;180,00
Geladeira Refrigerador Electrolux 240 Litros 1 Porta Classe A - RE31;1.999,90;1.709,91;12;158,33
Refrigerador Ngv 10 Preto Fosco;1.699,00;1.699,00;1;1.699,00
Geladeira Refrigerador Consul 334 Litros Biplex - CRD37EB;2.599,00;1.899,05;3;666,33
Refrigerador Panasonic 435 Litros Frost Free NR-BT50BD3X;4.430,44;3.159,90;12;263,33
Refrigerador rcd34 branco 2pts 276l 220v esmaltec;2.179,00;2.070,05;10;217,90
Geladeira/Refrigerador Samsung Frost Free;19.810,00;13.157,41;10;1.384,99
Geladeira Refrigerador Vertical VB28RH All Black Expositor - Metalfrio;4.080,00;3.876,00;12;340,00
Geladeira/Refrigerador Samsung Frost Free;19.810,00;13.499,41;10;1.420,99
Refrigerador/Geladeira Side By Side 528L Midea;6.699,00;5.699,90;12;474,99
Jogo Borracha Geladeira Continental Porta e Freezer Rcct440;199,90;185,91;3;66,63
Geladeira Frost Free Panasonic BT40 387L Inox;3.679,00;3.143,55;1;3.143,55
Refrigerador Electrolux Frost Free 454 Litros Inox DB53X - 220 Volts;4.946,01;4.204,11;12;412,17
Refrigerador Electrolux Frost Free 382 Litros Top Freezer Platinum TF42S  127 Volts;4.318,00;3.058,30;12;299,83
Geladeira Samsung Evolution RT46 com POWERvolt Inverter Duplex 460L Black Inox Look;5.215,00;5.215,00;1;5.215,00
Capa Geladeira Dc35a Electrolux 260l. Vertical Anti Poeira;109,90;102,21;3;36,63
Refrigerador Consul Branco 2 Portas 334L CRD37EB;2.249,00;2.249,00;1;2.249,00
Geladeira Panasonic Frost Free Duplex 2 Portas NR-BT50BD3WB 435 Litros 220V;2.959,00;2.959,00;1;2.959,00
Geladeira / Refrigerador Brastemp Duplex Frost Free 400 Litros BRM54HB;2.999,00;2.999,00;1;2.999,00
Geladeira Consul 1 Porta Frost Free 300 Litros CRB36ABANA;2.110,00;2.110,00;1;2.110,00
Geladeira Consul 2 Portas 334 Litros CRD37EB;3.102,72;2.199,90;12;183,33
Geladeira Continental TC56 Frost Free 472L;3.799,90;3.329,91;12;308,33
Refrigerador/geladeira bb53 pv3xb aço escovado bottom freezer duplex f.f com 425 litros - panasonic;4.198,00;3.988,10;10;419,80
Refrigerador/geladeira bt40 bd1xb aço escovado 2 portas 387l frost free -panasonic;3.149,00;2.991,55;10;314,90
Refrigerador 425l Midea 2 Portas Frost Free Md-rt453fga041;4.031,90;3.274,81;10;352,13
Geladeira Electrolux Multidoor Inox Conectada com FlexiSpace (DQ90X);19.999,00;18.599,07;12;1.666,58
Geladeira/Refrigerador Esmaltec Cycle Defrost - Duplex Branco 276L RCD34;1.799,90;1.673,91;12;149,99
Geladeira Samsung French Door Frost Free 536L RF23RS62 Inox;13.899,00;13.899,00;1;13.899,00
Refrigerador Consul Frost Free CRM39AB 110V Duplex com Prateleiras Altura Flex Branca 340L;3.200,00;2.519,10;12;233,25
Geladeira Refrigerador Brastemp 400 Litros 2 Portas Frost Free Tarantino BRM54HK;3.599,00;3.599,00;1;3.599,00
Refrigerador Esmaltec 306 Litros RCD38 - 220V;2.289,00;1.956,05;1;1.956,05
Geladeira Refrigerador Duplex DFX41 Degelo Automático 371 Litros Electrolux;2.799,00;2.799,00;1;2.799,00
Mini Geladeira Retrô 4L;699,90;560,41;12;49,16
Geladeira Brastemp Frost Free Platinum Multi Portas 540L BRO80;7.327,13;7.327,13;1;7.327,13
Geladeira Panasonic Frost Free Duplex 2 Portas NR-BT50BD3WA 435 Litros;2.959,00;2.959,00;1;2.959,00
Refrigerador Smart LG Side By Side 601 Litros Inox 220V GC-L247SLUV;13.899,00;9.499,00;12;931,27
Geladeira Refrigerador Consul 261L 1 Porta Degelo Seco Classe A - CRA30FB;2.099,90;1.733,92;12;169,99
Refrigerador Frost Free Electrolux 310L Branco 127v - TF39;3.008,72;2.557,41;10;300,87
Geladeira Continental TC56 Frost Free 472L;3.799,90;3.329,91;12;308,33
Geladeira Consul CRM56HB Frost Free 450L;4.099,90;3.599,91;12;333,33
Refrigerador Electrolux Frost Free 454 Litros Branco DB53 - 127 Volts;5.398,00;3.823,30;12;374,83
Geladeira Eletrolux TF55 TOP Frost free 431L;3.999,90;3.012,30;12;278,92
Geladeira Electrolux DF44 402L;3.699,90;3.239,91;12;299,99
Refrigerador Consul 450 Litros 2 Portas Frost Free CRM56HK;4.807,90;3.904,73;10;419,86
Refrigerador Philco Side By Side 489L PRF504I Inverter 110v;5.699,90;4.844,92;12;474,99
Geladeira Electrolux Frost Free Top Freezer 2 Portas TF42S 382 Litros Platinum;2.999,00;2.999,00;1;2.999,00
Refrigerador Brastemp Inverse 419L 3 Portas Frost Free Inox 220V BRY59BK;7.999,00;6.099,00;12;597,94
Geladeira Brastemp Frost Free com Freeze Control  BRM54HB 400L;3.499,90;2.969,91;12;274,99
Geladeira / Refrigerador Consul CRB39 Frost Free 342 Litros;2.629,00;2.276,10;12;210,75
Geladeira/Refrigerador Samsung Frost Free Inox;29.399,00;19.949,05;10;2.099,90
Geladeira Frost Free Philco 482L 4 Portas PRF500I French Door Inverse 220V;4.998,89;4.499,00;12;416,57
Geladeira Consul 450 Litros Frost Free Duplex com Espaço Flex 220V;3.299,00;2.969,10;12;274,92
Refrigerador Consul Domest 1 Porta 342L Branco CRB39AB 220V;1.998,89;1.799,00;12;166,57
Refrigerador Electrolux 382 Litros TF42 Branco  220 Volts;3.197,97;2.718,27;12;266,50
Refrigerador Consul Frost Free Duplex 340 litros CRM39AB Branca  220 Volts;2.938,69;2.497,89;12;244,89
Refrigerador 340 Litros CRM39AB Consul;3.462,84;2.499,90;12;208,33
Mini Geladeira 10 Litros Painel Led Trivolt 127/220 e 12v Com Cabo Ac/dc Tv015 Branca;1.000,86;930,80;12;83,41
Geladeira Refrigerador Top Freezer 2 Portas 475 Litros DC51X Electrolux;3.699,00;3.699,00;1;3.699,00
Geladeira/Refrigerador Esmaltec Degelo Manual - 1 Porta Branco 245L ROC31;1.738,80;1.651,86;12;144,90
Refrigerador Brastemp Frost Free 375 Litros Branco BRM44 - 220 Volts;3.232,22;2.747,39;12;269,35
Geladeira Degelo Freezer 2 Portas Inverter 598 Litros DB84X Electrolux;5.799,00;5.799,00;1;5.799,00
Refrigerador Electrolux 240 Litros RE31 Degelo Prático;2.507,90;1.799,90;12;149,99
Geladeira Refrigerador Brastemp 540 Litros 3 Portas Frost Free;7.499,90;6.299,91;12;583,33
Geladeira/Refrigerador Electrolux 240 Litros 1 Porta Classe A RE31;2.078,90;1.686,09;10;181,30
Refrigerador/Geladeira Consul Frost Free Duplex 340L CRM39AB;2.799,90;2.659,91;12;233,33
Geladeira / Refrigerador Cycle Defrost Duplex Consul 334 Litros, CRD37EB, Branca;2.245,93;2.245,93;1;2.245,93
Geladeira/Refrigerador Consul, 261 Litros, CRA30F, 1 Porta, Degelo Seco, Branco;1.699,00;1.614,05;10;169,90
Controle eletronico bt side by side 127v 326063077;0;0;0;0
Geladeira/Refrigerador Consul, 261 Litros, CRA30F, 1 Porta, Degelo Seco, Branco;1.699,00;1.614,05;10;169,90
Geladeira Panasonic 2 Portas Frost Free 483L NR-BT55 Branca;3.739,00;3.739,00;1;3.739,00
Geladeira Refrigerador Panasonic 425 Litros 2 Portas;4.499,90;3.869,91;12;358,33
GeladeiraRefrigerador Panasonic Frost Free 435 Litros BT50 Inox;3.899,90;3.239,91;12;299,99
Geladeira Frost Free Duplex Inverter Panasonic 483L BT55;4.099,90;3.419,91;12;316,66
Geladeira/Refrigerador Samsung 460 Litros Evolution RT46, com PowerVolt, Frost Free, Inverter, Duplex, Inox Look, Bivolt;5.299,00;4.939,05;10;519,90
Refrigerador Side by Side Inverse Brastemp de 03 Portas Frost Free em Evox com 540 Litros Cor Inox e Cinza - BRO80AK;8.709,00;6.739,93;12;561,66
Geladeira Frost Free 397 Litros Inverse Duplex CRE44A Consul;5.199,00;4.464,05;12;391,58
Refrigerador 2 Portas Frost Free 462 Litros Brastemp Classe A BRM56ABANA;4.618,90;3.751,74;10;403,41
Refrigerador Electrolux Frost Free 310 Litros Platinum TF39S - 220 Volts;3.158,11;2.684,39;12;263,18
Refrigerador 400 Litros Brastemp 2 Portas Frost Free BRM54HB;4.022,11;3.418,79;10;402,21
Refrigerador Instalação Livre Retro Bordeaux;11.329,00;11.329,00;1;11.329,00
Geladeira Consul CRM43 Frost Free 386L;3.599,90;3.059,91;12;283,33
Refrigerador Duplex Electrolux 474 Litros Frost Free DF56;5.129,29;4.359,90;10;512,93
Mini Geladeira Portátil Branca 10L 12V 110V 220V Refrigera Aquece + Cabo tomada Multilaser TV015;1.263,90;1.034,01;12;95,74
GeladeiraRefrigerador Electrolux Frost Free 3 Portas French Door 579 Litros Multidoor DM84X;8.206,90;6.728,60;10;723,51
Refrigerador Side by Side Inverse Brastemp de 03 Portas Frost Free em Evox com 540 Litros Cor Inox e Cinza - BRO80AK;8.709,00;6.739,93;12;561,66
Dobradiça Intermediaria 65158599 Refrigerador Electrolux DF34A, DF34G, DF34R, DF35, DF35A, DF35X;26,29;24,45;1;24,45
Geladeira Brastemp Frost Free Inverse 443 litros Branca com Turbo Ice;5.109,00;4.599,93;12;383,33
Geladeira Gorenje Ion Generation 2 Portas Inverse Inox 220V NRK6192UX;7.899,00;7.109,10;12;658,25
Porta Latas / Drink Express - Electrolux;34,90;26,31;1;26,31
Refrigerador Philco Side by Side 554L PRF600I Inverter - Geladeira e Freezer;10.199,90;10.199,90;1;10.199,90
Refrigerador Panasonic BT55 Top Freezer 2 Portas Frost Free 483 Litros Aço Escovado 220V NR-BT55PV2XB;4.210,59;3.579,00;12;350,88
Geladeira/Refrigerador Electrolux 240 Litros 1 Porta Classe A RE31;2.078,90;1.686,09;10;181,30
Geladeira/Refrigerador Consul 300 Litros 1 Porta Frost Free Classe A CRB36;2.747,90;2.232,13;10;240,01
Geladeira Midea 425 Litros Frost Free Duplex Inox 110V;3.289,00;2.960,10;12;274,08
Refrigerador Brastemp Brm54hk 400 Litros Evox Frost Free;4.799,00;3.229,05;3;1.133,00
Geladeira Duplex Brastemp 400 Litros Frost Free Evox BRM54HK  110V;3.399,00;3.399,00;1;3.399,00
Geladeira/Refrigerador Frost Free 500L Brastemp BRM57AK Evox 127V;5.731,89;4.872,11;10;573,19
Geladeira/Refrigerador Frost Free  322L Branco (RFE39);2.599,00;2.138,07;12;191,58
Refrigerador Panasonic NR-BB53PV3X Frost Free com Tecnologia Inverter Aço Escovado;4.909,00;4.198,05;1;4.198,05
Refrigerador Panasonic BT40 387L 2 Portas Branco Frost Free 220V NR-BT40BD1WB;3.175,29;2.699,00;12;264,61
Geladeira/Refrigerador Frost Free 371 litros (DFN41);3.179,00;3.119,00;12;259,92
Geladeira French Door Eco Inverter Philco Frost Free Inox PRF380l - 220V;4.650,50;3.952,93;12;387,54
Refrigerador Electrolux Frost Free Inverter 454 Litros Inox IB53X - 220 Volts;6.395,00;4.529,65;12;444,08
GeladeiraRefrigerador Electrolux Frost Free 3 Portas French Door 579 Litros Multidoor DM84X;8.216,90;6.669,03;10;717,10
Refrigerador Consul 261L 1 Porta Degelo Seco - Branca - 127V - CRA30FBANA;1.845,17;1.752,91;10;184,52
Refrigerador Frost Free Duplex CRM56HB 450 Litros 2 Portas Consul;3.999,00;3.134,05;1;3.134,05
Geladeira Brastemp Frost Free 540 Litros 3 Portas Side Inverse BRO80AK Inox 110V;7.399,00;5.714,10;12;529,08
Refrigerador/Geladeira Side by Side 528L Midea;6.699,00;5.699,90;12;474,99
Refrigerador Electrolux 310L 2 Portas Frost Free Branco 220V TF39;2.999,00;2.549,15;12;249,92
Refrigerador Electrolux Frost Free 382 Litros Top Freezer com Dispenser de Água Platinum TW42S  127 Volts;4.498,00;3.185,80;12;312,33
Refrigerador Consul Frost Free 342 litros CRB39ABANA - 127 Volts;2.795,00;1.979,65;12;194,08
Refrigerador/geladeira crb39 akbna platinum 342l 1 porta frost free consul;2.539,00;2.412,05;10;253,90
Refrigerador 598l Electrolux 2 Portas Frost Free Inverse Db84;6.698,90;5.386,81;10;579,23
Conservador/Refrigerador Gelopar GHDE-510H;6.639,90;4.204,61;10;442,59
Geladeira Samsung Side by Side Frost Free 501L RS50N3413S8 Cor Inox Look;8.399,00;8.364,90;10;836,49
Geladeira Samsung Evolution RT38 com PowerVolt Inverter Duplex 385 Litros RT38K5A0KS9/FZ;5.363,53;3.875,15;12;379,92
Geladeira Electrolux Degelo Automático Duplex Infinity DF82X 553 Litros;5.599,00;5.599,00;1;5.599,00
Placa principal refrigerador panasonic nr-bt40 110v;317,00;294,81;10;31,70
Geladeira Smart Lg Side By Side Inverter 601 Litros Inox Com Instaview Door-In-Door 127v;19.999,90;17.999,90;12;1.499,99
Geladeira Brastemp Frost Free Inverse 460 litros cor Inox com Freeze Control Advanced;7.739,00;7.739,00;1;7.739,00
Refrigerador Britânia Side By Side 434L BRF533ID  Inverter;4.999,90;4.999,90;1;4.999,90
Geladeira / Refrigerador Frost Free Duplex Consul CRM56HK, 450 Litros, Inox;4.171,93;4.171,93;1;4.171,93
Geladeira/Refrigerador Samsung 460 Litros Evolution RT46, com PowerVolt, Frost Free, Inverter, Duplex, Branco, Bivolt;4.599,00;3.609,05;10;379,90
Geladeira Consul 2 Portas 334 Litros CRD37EB;3.102,72;2.089,91;12;174,16
Geladeira Electrolux TF39 Frost Free 2 Portas 310L;3.099,90;2.609,91;12;241,66
Refrigerador Brastemp 500 Litros Frost Free BRM57AK;7.705,76;5.566,65;12;545,75
Geladeira Panasonic 2 Portas Frost Free 435L NR-BT50 Aço Escovado;3.399,00;3.399,00;1;3.399,00
Geladeira Samsung French Door 536 Litros Inox 110V RF23R6201SR/AZ;0;0;0;0
Geladeira Consul CRM43 Frost Free 386L;3.599,90;3.059,91;12;283,33
Geladeira Refrigerador Panasonic 425 Litros 2 Portas;4.499,90;3.869,91;12;358,33
Borracha Gaxeta Geladeira Porta Continental Copacabana Rcct360 Rcct370 Rcct375;119,90;111,51;3;39,97
GeladeiraRefrigerador Side by Side Midea 528 Litros Frost Free Inox MDRS587FGA  110V;7.007,77;5.269,15;12;516,58
Geladeira Portátil 24 Litros Black Decker BDC24L-LA;1.099,00;989,10;10;109,90
Refrigerador Consul 386L Frost Free Classe A - CRM43;3.699,00;3.093,92;12;303,33
Geladeira Frost Free Continental 472L Inox TC56S;3.629,00;3.629,00;1;3.629,00
Refrigerador RCD34 Duplex 38,5kWh 276L Branco - ESMALTEC;2.099,90;1.994,91;12;174,99
Refrigerador Brastemp Frost Free 3 Portas Inverse BRY59BE 419 Litros;6.499,00;6.499,00;1;6.499,00
Refrigerador Brastemp Frost Free Inverse 443 Litros BRE57AK - 127 Volts;4.998,21;4.248,48;12;416,52
Refrigerador Consul Frost Free 342 litros Inox CRB39AK  127 volts;2.598,05;2.208,34;12;216,50
Geladeira/Refrigerador Frost Free 431 Litros Electrolux TF55 Branco 127V;3.967,89;3.372,71;10;396,79
Geladeira Consul Frost Free Duplex 340 litros Branca com Prateleiras Altura Flex;2.869,00;2.869,00;1;2.869,00
Refrigerador Frost Free Electrolux TF39 310 Litros;3.099,90;2.609,91;12;241,66
Gaveta Inferior Para Refrigerador Electrolux DM86V DM86X DM84X - 70003987;199,90;185,91;4;49,98
Refrigerador brastemp 496 litros - brm56akana 110v;4.890,00;4.890,00;1;4.890,00
Refrigerador Electrolux Frost Free 382 Litros Top Freezer Platinum TF42S  220 Volts;4.318,00;3.058,30;12;299,83
Geladeira/Refrigerador Esmaltec Cycle Defrost 259L - ROC35 Branco;1.858,80;1.765,86;12;154,90
Refrigerador Philco French Door 396L PRF406I;8.999,90;6.999,90;12;583,33
Geladeira Brastemp Frost Free Duplex 478 litros cor Inox com Freezer Control Advanced;5.631,00;5.549,00;12;462,42
Prateleira Esmaltec (roc 29 / 30 / 31);35,00;31,50;1;31,50
Geladeira Electrolux Frost Free Top Freezer 2 Portas TF56 474 Litros;3.499,00;3.499,00;1;3.499,00
Geladeira Frost Free Electrolux TF55 431 Litros Duplex Top Freezer Branca 110V;3.499,00;3.059,10;12;283,25
Refrigerador Philco French Door Inverse 4 Portas  403L PRF411I Inverter;10.609,90;5.999,90;12;499,99
Refrigerador 472 Litros Continental 2 Portas Frost Free Tc56s;4.616,90;3.322,92;10;357,30
Geladeira Samsung Evolution RT46 com POWERvolt Inverter Duplex 460L Inox Look;4.969,00;4.609,00;10;460,90
Refrigerador Electrolux Frost Free 474 Litros Top Freezer Branco DF56  220 Volts;4.258,73;3.619,92;12;354,89
Geladeira Electrolux TF55S TOP 2 Portas Frost Free Platinum 431L;4.499,90;3.959,91;12;366,66
Geladeira Electrolux Frost Free Top Freezer 2 Portas TF56 474 Litros;3.499,00;3.499,00;1;3.499,00
Geladeira Refrigerador Brastemp 2 Portas Frost Free Inverse 460 Litros BRE59AK;6.499,00;6.499,00;1;6.499,00
Geladeira Consul CRM50HB Frost Free 410L;3.399,90;3.059,91;12;283,33
Refrigerador Consul Frost Free Duplex 450 Litros com Espaço Flex e Painel Eletrônico Externo Inox CRM56HK - 127 Volts;4.297,68;3.653,03;12;358,14
Geladeira Consul CRM39AB Frost Free Duplex 340L;3.099,90;2.699,91;12;249,99
Geladeira Panasonic 2 Portas Frost Free 435L Branca;3.199,00;3.199,00;1;3.199,00
Geladeira Electrolux TF55S TOP 2 Portas Frost Free Platinum 431L;4.499,90;3.959,91;12;366,66
Mini Geladeira 12V 7L Cinza TV013;413,48;384,54;12;34,46
Refrigerador Electrolux TF55 431 Litros Frost Free Branco;4.249,00;3.419,05;10;359,90
Geladeira Consul Frost Free Duplex 397 litros Branca com freezer embaixo - CRE44AB;4.079,00;4.079,00;1;4.079,00
Geladeira Continental Automática Frost Free 2 Portas TC44S 394 Litros;2.699,00;2.699,00;1;2.699,00
Mini Geladeira Frigobar Multilaser Portatil 10l 110/12v;1.399,00;1.259,10;10;139,90
Geladeira / Refrigerador Brastemp Frost Free Inverse 2 Portas 573 Litros com Smart Bar BRE80AKANA;7.315,90;5.942,33;10;638,96
Refrigerador Electrolux 553 Litros Frost Free 2 Portas DF82;6.271,90;5.093,61;10;547,70
Geladeira Consul Frost Free 342L CRB39AK Evox;2.349,00;2.349,00;1;2.349,00
Geladeira Refrigerador Brastemp 540 Litros 3 Portas Frost Free Syde Inverse Classe A Bro80Akana;8.379,90;6.806,67;10;731,90
Placa Principal Para Refrigerador Side By Side Ge Wr55x11072;2.600,00;2.600,00;1;2.600,00
GeladeiraRefrigerador Electrolux Frost Free Duplex 431 Litros IF55 Top Freezer;4.733,90;4.393,23;10;472,39
Geladeira/Refrigerador Smart Side by Side com Instaview Door-in-Door 601 Litros LG GC-X247CSB1 Aço Escovado 220V;19.810,82;19.810,82;1;19.810,82
Geladeira/Refrigerador Consul Degelo Seco 261L - CRA30 FBANA Branco;2.099,00;2.099,00;1;2.099,00
Porta Hot Dog Continental (5.2 Litros);55,46;51,58;1;51,58
Geladeira Consul Cycle Defrost Duplex 415L - Branco - 127V - CRD46ABANA;2.969,30;2.820,84;10;296,93
Refrigerador Brastemp 400L BRM54 Frost Free com Freeze Control 110V Branco;3.997,00;3.997,00;1;3.997,00
Geladeira Consul CRM50HK Frost Free 410L;3.899,90;3.419,91;12;316,66
Geladeira/Refrigerador Electrolux 240L RE31 - Branco;2.059,00;2.059,00;1;2.059,00
Geladeira Interna 38 Litros X-Force - Maxiclima;3.463,82;3.221,35;6;577,30
Geladeira/Refrigerador Consul Frost Free 342L CRB39Ak Inox;2.499,90;2.374,91;12;208,33
GeladeiraRefrigerador Electrolux Frost Free Inox 2 Portas 371 Litros DFX41;3.939,90;3.196,05;10;343,66
Refrigerador/geladeira bre57 akbna 2 pts 443 litros platinum frost free brastemp;4.999,00;4.749,05;10;499,90
Geladeira Consul 450 Litros Frost Free Duplex com Espaço Flex Inox 220V;3.699,00;3.699,00;1;3.699,00
Refrigerador French Door 579l Dm84x Electrolux;8.190,00;7.780,50;1;7.780,50
Refrigerador Side Inverse Brastemp de 03 Portas Frost Free com 540 Litros Painel Eletrônico Inox - BRO81AR;0;0;0;0
