Notebook;preco;preco_desconto;parcelas;valor_parcela
MSI GE66 (Laptop Gamer) i9-10980HK tela 15' FHD RTX 2080 Super SSD 512Gb NVMe RAM 16Gb;0;0;0;0
MSI GE63 (Laptop Gamer) i7-9750H tela 15' FHD RTX 2080 SSD 1Tb NVMe RAM 16Gb;0;0;0;0
MSI GS66 (Laptop Gamer) i7-10750H tela 15' FHD Nvidia RTX 3060 SSD 512Gb NVMe RAM 16Gb;0;0;0;0
Gigabyte Aero 15 (Laptop Gamer) i7-11800H tela 15' FHD Nvidia RTX 3070 SSD 4Tb NVMe RAM 64Gb;0;0;0;0
"Notebook Gamer 2AM Core i5 8ªGeração 8GB GTX1050 1TB Optane 16GB FullHD 15.6""Windows 10 Home";0;0;0;0
MSI GL65 (Laptop Gamer) i7-9750H tela 15' FHD GTX 1650 SSD 2Tb NVMe RAM 32Gb;0;0;0;0
Razer Blade 15 (Laptop Gamer) i7-10875H tela 15' UHD 4K Nvidia RTX 3080 SSD 4Tb NVMe RAM 64Gb;0;0;0;0
MSI GE75 (Laptop Gamer) i9-9880H tela 17' FHD RTX 2070 SSD 1Tb NVMe RAM 64Gb;0;0;0;0
RazerUSA Blade 17 (Laptop Gamer) i7-9750H tela 17' FHD RTX 2080 Max-Q SSD 2Tb NVMe RAM 64Gb;0;0;0;0
"Notebook Gamer 2AM GeForce MX 150 2GB - Core i5 8ª Geração 8GB  1TB FullHD 15.6"" Windows 10 Home";0;0;0;0
MSI GS75 (Laptop Gamer) i9-9880H tela 17' FHD RTX 2080 SSD 1Tb NVMe RAM 64Gb;0;0;0;0
Asus GX502GW (Laptop Gamer) i7-9750H tela 15' FHD RTX 2080 SSD 512Gb NVMe RAM 16Gb;0;0;0;0
Notebook Gamer GeForce GTX 1050 4GB i7 7700HQ 8GB 1TB Samsung Odyssey 15,6'' Full HD Windows 10;0;0;0;0
Notebook Gamer 15.6pol Lenovo Ideapad 3i 82CG0001BR (Core i7 10750H, 8GB DDR4, 256GB nVME, Geforce GTX 1650, W10 Home);0;0;0;0
MSI GL65 (Laptop Gamer) i7-9750H tela 15' FHD GTX 1650 SSD 1Tb NVMe RAM 32Gb;0;0;0;0
Notebook Gamer Lenovo - Tela 15.6 Full HD - Intel i7, 32GB, SSD 512GB, GeForce GTX 1650, Windows 10;0;0;0;0
Notebook Gamer Acer Nitro 5 AN515-54-79YX Intel Core I7 512GB SSD 16GB GTX 1650 15,6' Endless OS;0;0;0;0
Notebook Gamer 2AM E550 Intel Core i5 8GB 1TB;0;0;0;0
Kit Notebbok Gamer Aspire Nitro 5 AN515-54-58CL + Mochila Gamer Nitro;8.198,90;5.224,05;12;458,25
Notebook Gamer Dell G3 - Full HD 120Hz, i5 10300H, 16GB, SSD 256GB, GeForce GTX 1650, Windows 10;0;0;0;0
"Notebook Gamer Lenovo, Intel  Core  i5 9300HF, 8GB, 1TB, Tela 15,6"", GeForce  GTX 1050, Preto, Ideapad L340 - 81TR0003BR";0;0;0;0
Notebook Acer Aspire Nitro 5 AN515-43-R4C3 Gamer - AMD Ryzen 7, 16GB, SSD + HD, GTX 1650 4GB;0;0;0;0
"PC Gamer Completo Monitor 24"" Samsung 1ms Intel Core i7 RAM 8GB (Geforce GTX 1660 6GB) SSD 120GB HD 1TB EasyPC FullSetup";0;0;0;0
"Notebook Dell Alienware AW15R4-7712SLV-PUS 15.6"" Intel Core I7-8750H - Prata";0;0;0;0
Notebook Gamer Acer AN515-54-58CL 9ºGeração Intel i5-9300H 8GB 1T+128SSD 4GB Tela 15.6 Polegadas;0;0;0;0
"PC Gamer Completo Monitor 24"" Samsung 1ms Intel Core i7 RAM 8GB (Geforce GTX 1660 6GB) SSD 480GB EasyPC FullSetup";0;0;0;0
"NOTEBOOK 15"" GAMER G3-3500-A20P i5-10300H/8GB/512GB SSD/GTX1650TI/WIN 10  DELL";0;0;0;0
Notebook 3D LG A520-6000 c/ Intel Core i7;0;0;0;0
Notebook 15.6pol Alienware AW-15R2-A10 (Core i5 6th Gen, 8GB DDR4, HD 1TB 7.200RPM, VGA GTX 965M 2GB, Windows 10);0;0;0;0
Notebook Gamer Acer Nitro 5 Intel Core i5 16GB;0;0;0;0
"Notebook Gamer Acer VX5-591G-54PG, Intel Core i5, 8GB, 1TB, Tela 15.6"" Full HD e Windows 10";0;0;0;0
Notebook Gamer Lenovo Legion Y720 Intel Core i7 HQ;0;0;0;0
Notebook Gamer NAVE Lunar GK5CP4V  WIndows 10;0;0;0;0
Notebook Gamer Acer Predator Intel Core i7;0;0;0;0
Notebook Gamer Acer Predator Triton 500 PT515-51-7467 Intel Core i7-9750H 9ª Geração GeForce RTX 2080 8GB RAM de 32GB SSD de 1TB 15,6' Windows 10;0;0;0;0
MSI GE66 (Laptop Gamer) i7-10750H tela 15' FHD RTX 2080 Super SSD 1Tb NVMe RAM 32Gb;0;0;0;0
"Notebook Gamer Dell G3-3590-M63P 15.6"" 9ª G Intel Core i7 8GB 512GB SSD Placa Vídeo NVIDIA 1660Ti Microsoft Office 365";0;0;0;0
Notebook HP 250 G7 Intel Core i5 8GB 256GB SSD;0;0;0;0
Razer Blade 15 (Laptop Gamer) i7-10750H tela 15' QHD Nvidia RTX 3070 SSD 512Gb NVMe RAM 16Gb;0;0;0;0
Razer Blade 15 (Laptop Gamer) i7-10875H tela 15' FHD Nvidia RTX 3080 SSD 4Tb NVMe RAM 64Gb;0;0;0;0
Gigabyte Aero 15 (Laptop Gamer) i7-10870H tela 15' FHD Nvidia RTX 3070 SSD 4Tb NVMe RAM 64Gb;0;0;0;0
Gigabyte Aorus 15 (Laptop Gamer) i7-9750H tela 15' FHD RTX 2080 SSD 1Tb NVMe RAM 32Gb;0;0;0;0
MSI GS75 (Laptop Gamer) i9-10980HK tela 17' FHD RTX 2080 Super SSD 512Gb NVMe RAM 16Gb;0;0;0;0
Notebook Dell G3 3590 15.6 Fhd I5-9300h 1tb 8gb Gtx 1050;0;0;0;0
Notebook Gamer Dell G7-7588-A40B Intel Core i7HQ;0;0;0;0
Notebook Gamer Dell Alienware 15 Intel Core i7 ;0;0;0;0
Notebook Dell G3 15.6 Fhd I5-9300h 256gb Ssd 8gb Gtx 1050;0;0;0;0
Notebook Gamer Dell Alienware 17 Intel Core i7;0;0;0;0
Notebook Gamer Acer AN515-54-56SA I5 16GB GTX 1650 1TB 256GB;0;0;0;0
Notebook Acer Aspire Nitro 5 AN515-43-R4C3 Gamer - AMD Ryzen 7, 32GB, SSD + HD, GTX 1650 4GB;0;0;0;0
Notebook Gamer Dell G3 - Intel i7, 16GB, SSD 512GB, GeForce GTX 1660 Ti, Windows 10 - Branco;0;0;0;0
MSI GE75 (Laptop Gamer) i9-10980HK tela 17' FHD RTX 2080 Super SSD 512Gb NVMe RAM 16Gb;0;0;0;0
Kit Notebook Acer A315-53-52ZZ Core i5 8GB 1TB Windows 10 + SSD 240 GB;0;0;0;0
Notebook Samsung Odyssey Intel Core i7 8GB 1TB;0;0;0;0
"Notebook Gamer Dell  G5-5590-A80P Intel Core i7-9750H 16GB 512GB SSD RTX 2060 15,6"" Full HD Windows 10 Home,Preto";0;0;0;0
Notebook Gamer Acer Aspire Nitro 5 AN515-43-R9K7;0;0;0;0
Notebook Samsung Odyssey NVIDIA GTX 1050Ti  8GB 1TB Preto;0;0;0;0
MSI GL65 (Laptop Gamer) i7-10750H tela 15' FHD RTX 2060 SSD 1Tb NVMe RAM 32Gb;0;0;0;0
Asus S512 (Laptop Gamer) i7-10510U tela 15' FHD MX 250 SSD 512Gb NVMe RAM 16Gb;0;0;0;0
MSI GS75 (Laptop Gamer) i7-10750H tela 17' FHD RTX 2070 SSD 512Gb NVMe RAM 16Gb;0;0;0;0
Fonte Carregador para Notebook Acer Nitro 5-A515-52-72uu;0;0;0;0
PC Gamer Skul 9000 White Edition Intel i9-9900K, 16GB, SSD 1TB, RTX 3070 Gaming Pro, RGB, Linux - G9900KM1T16W-RTX30708GB;0;0;0;0
MSI GS75 (Laptop Gamer) i9-9880H tela 17' FHD RTX 2070 SSD 1Tb NVMe RAM 16Gb;0;0;0;0
MSI GS65 (Laptop Gamer) i7-9750H tela 15' FHD RTX 2070 SSD 2Tb NVMe RAM 64Gb;0;0;0;0
MSI GE75 (Laptop Gamer) i7-9750H tela 17' FHD RTX 2080 SSD 2Tb NVMe RAM 32Gb;0;0;0;0
Notebook Gamer Acer Nitro 5 AN515-54-58CL Intel Core i5 8GB 1TB HD 128GB SSD GTX 1650 15.6' Endless;0;0;0;0
Notebook Gamer NAVE Lunar GK5CP5V Windows 10;0;0;0;0
Notebook Gamer Acer Aspire Nitro Intel Core i7, 8GB, 1TB, LED, 15,6 Pol, Full HD, GTX 1050 - AN515-5;0;0;0;0
Notebook Dell Gaming G3-3500 - Tela 15.6 120Hz, Intel i5, 32GB, SSD 256GB, GeForce GTX 1650, Linux;0;0;0;0
Notebook Gamer Acer Nitro 5 AN515-52-52BW I5-8300H 8GB GTX1050 4GB Dedi 15.6 Pol HD;0;0;0;0
Notebook 15.6pol Asus ZenBook UX534FTC-AS77 (i7 10510U, 16GB, SSD 512GB nVME, 4K, GeForce GTX1650, Win 10 Home);0;0;0;0
MSI GS75 (Laptop Gamer) i7-9750H tela 17' FHD RTX 2080 SSD 512Gb NVMe RAM 16Gb;0;0;0;0
MSI GS75 (Laptop Gamer) i7-9750H tela 17' FHD RTX 2070 SSD 512Gb NVMe RAM 16Gb;0;0;0;0
RazerUSA Blade 15 White (Laptop Gamer) i7-9750H tela 15' FHD RTX 2070 SSD 512Gb NVMe RAM 16Gb;0;0;0;0
RazerUSA Blade 15 (Laptop Gamer) i7-9750H tela 15' FHD RTX 2070 SSD 1Tb NVMe RAM 32Gb;0;0;0;0
Razer Blade 15 (Laptop Gamer) i7-10875H tela 15' UHD 4K RTX 2080 Super SSD 1Tb NVMe RAM 32Gb;0;0;0;0
MSI P65 (Laptop Gamer) i9-9880H tela 15' UHD RTX 2070 SSD 1Tb NVMe RAM 16Gb;0;0;0;0
Razer Blade 15 (Laptop Gamer) i7-10875H tela 15' FHD RTX 2080 Super SSD 2Tb NVMe RAM 64Gb;0;0;0;0
Notebook Dell Gaming G3-3500 - Tela 15.6 120Hz, Intel i5, 32GB, SSD 256GB, GeForce GTX 1650, Linux;0;0;0;0
Notebook Gamer Dell G3-3500-A20P Intel Core i5 8GB;0;0;0;0
MSI GL65 (Laptop Gamer) i7-9750H tela 15' FHD GTX 1660TI SSD 2Tb NVMe RAM 32Gb;0;0;0;0
Notebook Gamer Predator Helios 300 PH315-53-74BC Ci7 Windows 10 Home 16GB 256GB SSD HD 1TB RTX 2060 15,6';0;0;0;0
MSI GS75 (Laptop Gamer) i7-9750H tela 17' FHD GTX 1660 TI SSD 1Tb NVMe RAM 32Gb;0;0;0;0
Notebook Dell Gaming G3-3500 - Tela 15.6 FHD, i5 10300H, 32GB, SSD 512GB + HD 1TB, GeForce GTX 1650;0;0;0;0
Notebook Gamer Acer Nitro 5 AN515-54-76V7 Intel ;0;0;0;0
Asus GX701GV (Laptop Gamer) i7-9750H tela 17' FHD RTX 2060 SSD 1Tb NVMe RAM 16Gb;0;0;0;0
Asus K513 (Laptop Gamer) Intel 11ª geração i7-1165G7 tela 15' FHD Nvidia MX 350 SSD 256Gb +1Tb RAM 16Gb;0;0;0;0
Notebook Gamer Lenovo - Tela 15.6 Full HD - i5 10300H, 16GB, SSD 1TB, GeForce GTX 1650, Windows 10;0;0;0;0
Notebook Gamer Asus M570DD-DM122T AMD Ryzen 5;0;0;0;0
Notebook Gamer Acer NITRO 5 AN515-55-50JB Intel Core I5 Windows 10 Home 16GB 512GB SSD GTX 1650TI 15,6';0;0;0;0
Notebook Acer AN515-54-58CL - Tela 15.6, Intel i5, 8GB, SSD + HD, GeForce GTX 1650 4GB - Endless OS;0;0;0;0
Notebook Gamer Lenovo Legion 5i Intel Core i7-10750H, NVIDIA RTX 2060, 16GB RAM, SSD 512GB, Win 10 Home, Phantom Black - 82CF0002BR;0;0;0;0
Gigabyte Aero 15 (Laptop Gamer) i7-10870H tela 15' UHD 4K Nvidia RTX 3060 SSD 2Tb NVMe RAM 64Gb;0;0;0;0
Gigabyte Aero 15 (Laptop Gamer) i7-10870H tela 15' UHD 4K Nvidia RTX 3060 SSD 1Tb NVMe RAM 32Gb;0;0;0;0
Razer Blade 15 (Laptop Gamer) i7-10750H tela 15' QHD Nvidia RTX 3070 SSD 2Tb NVMe RAM 64Gb;0;0;0;0
Razer Blade 15 (Laptop Gamer) i7-10875H tela 15' FHD Nvidia RTX 3080 SSD 512Gb NVMe RAM 16Gb;0;0;0;0
Razer Blade 15 (Laptop Gamer) i7-10875H tela 15' QHD Nvidia RTX 3080 SSD 512Gb NVMe RAM 16Gb;0;0;0;0
Gigabyte Aorus 15 (Laptop Gamer) i7-10870H tela 15' FHD Nvidia RTX 3080 SSD 1Tb NVMe RAM 32Gb;0;0;0;0
Notebook Gamer Acer Aspire Nitro 5, Intel Core i7-7700HQ, 16GB, HDD 1TB, SS  NHQ32AL005;0;0;0;0
Notebook Gamer Acer Aspire Nitro 5 AN515-52-54AM Core i5 8GB SSD 128GB HD 1TB GTX 1050 15.6” Win10;0;0;0;0
Notebook Samsung Odyssey Gamer - Tela 15.6 Full HD, Intel i5 7300HQ, 8GB DDR4, HD 1TB + SSD 240GB,;0;0;0;0
MSI GS66 (Laptop Gamer) i7-10870H tela 15' FHD Nvidia RTX 3080 SSD 2Tb NVMe RAM 64Gb;0;0;0;0
RazerUSA Blade 17 (Laptop Gamer) i7-9750H tela 17' UHD RTX 2080 Max-Q SSD 2Tb NVMe RAM 64Gb;0;0;0;0
RazerUSA Blade 17 (Laptop Gamer) i7-9750H tela 17' FHD RTX 2060 SSD 1Tb NVMe RAM 32Gb;0;0;0;0
RazerUSA Blade 15 (Laptop Gamer) i7-9750H tela 15' FHD GTX 1660 TI SSD 128Gb NVMe RAM 16Gb;0;0;0;0
Notebook Gamer Acer Nitro 5 AN515-52-7974 Intel Core i7-8750H 8ª Geração RAM de 8GB HD de 1TB SSD de 128GB GeForce GTX 1050ti tela 15.6” Endless OS;0;0;0;0
Notebook Gamer Acer Aspire Nitro 5 AN515-54-568U Intel I5 8GB 1TB HD 128GB SSD GTX 1050 Windows 10;0;0;0;0
"Notebook Gamer 2AM E550 NVIDIA GeForce GTX 1050 3GB - Windows 10 Home Core i5-9400 8GB  SSD NVMe 256GB FullHD 15.6""";0;0;0;0
"Notebook Acer 15.6"" Aspire Nitro 5 Intel Core Geracao 16GB RAM 512GB SSD Endless";0;0;0;0
"Notebook Gamer Dell G3-3590-A43P 9ª Geração Intel Core i5 8GB 256GB SSD Placa Vídeo NVIDIA GTX 1050 15.6"" Windows 10";0;0;0;0
Notebook Gamer Lenovo, Intel  Core  i7, 8GB, 256GB SSD, 15,6  , NVIDIA  GeForce  GTX 1650, IdeaPad Gaming 3 i-82CG0001BR;0;0;0;0
Notebook Gamer Acer Nitro 5 Intel Core i7HQ 16GB;0;0;0;0
Notebook Dell Gamer G5 5590 I7 9gen 2.6/16gb/512ssd/rtx2060/Windows 10/tela 15 polegadas;0;0;0;0
Notebook Gamer Dell G5-5590-A80P Intel Core i7 16G;0;0;0;0
Notebook HP 246 G7 Intel Core i3 4GB 1TB 14”;0;0;0;0
"Notebook Alienware Gamer M15 I7 16gb 1tb 2x512ssd Rtx2070 Tela 15.6"" Windows";0;0;0;0
RazerUSA Blade 15 (Laptop Gamer) i7-9750H tela 15' FHD GTX 1660 TI SSD 2Tb NVMe RAM 64Gb;0;0;0;0
"Notebook Intel Core i5 8GB 1TB Samsung Odyssey 7300HQ NP800G5M-XT1BR 15.6"" Windows 10";0;0;0;0
Notebook 15.6pol Dell Inspiron i15-5557-A15 (Core i7 6th Gen, 8GB DDR3, HD 1TB, VGA 930M 4GB, Windows 10 Home) - Prata;0;0;0;0
Notebook Acer Aspire Nitro 5 AN515-51-54AW Intel Core i5-7300HQ RAM de 8GB SSD de 128GB HD de 1TB GeForce GTX 1050 4GB Tela de 15.6” FHD Windows 10;0;0;0;0
MSI GE65 (Laptop Gamer) i7-9750H tela 15' FHD GTX 1660 TI SSD 2Tb NVMe RAM 32Gb;0;0;0;0
Fonte Carregador para Notebook Acer Nitro 5-AN515-52-7974;0;0;0;0
Asus ROG G15 (Laptop Gamer) i7-10750H tela 15' FHD RTX 2060 SSD 2Tb NVMe RAM 64Gb;0;0;0;0
MSI GS65 (Laptop Gamer) i7-9750H tela 15' FHD GTX 1660 TI SSD 1Tb NVMe RAM 16Gb;0;0;0;0
"Notebook Gamer Asus M570D 15.6"" AMD 5 3500U 8GB DDR4 HD 1TB GeForce GTX 1050 4GB, M570DD-DM122T";0;0;0;0
Notebook Gamer Acer Aspire Nitro 5, Intel Core i7-7700HQ, 16GB, HDD 1TB, SS  NHQ32AL005;0;0;0;0
MSI GE65 (Laptop Gamer) i7-9750H tela 15' FHD RTX 2060 SSD 2Tb NVMe RAM 64Gb;0;0;0;0
Notebook Acer Aspire Nitro 5 AN515-51-71A7 Intel Core i7-7700HQ RAM de 8GB SSD de 128GB HD de 1TB GeForce GTX 1050 4GB Tela de 15.6” FHD Endless OS;0;0;0;0
Asus GX701GW (Laptop Gamer) i7-9750H tela 17' FHD RTX 2070 SSD 1Tb NVMe RAM 16Gb;0;0;0;0
RazerUSA Blade 15 (Laptop Gamer) i7-9750H tela 15' FHD RTX 2070 SSD 512Gb NVMe RAM 16Gb;0;0;0;0
MSI GS65 (Laptop Gamer) i7-9750H tela 15' FHD RTX 2060 SSD 512Gb NVMe RAM 16Gb;0;0;0;0
MSI GS75 (Laptop Gamer) i7-10750H tela 17' FHD RTX 2080 Super SSD 1Tb NVMe RAM 32Gb;0;0;0;0
Asus Strix G17 (Laptop Gamer) i7-10750H tela 17' FHD RTX 2070 Max-Q SSD 512Gb NVMe RAM 16Gb;0;0;0;0
Asus GX701GW (Laptop Gamer) i7-9750H tela 17' FHD RTX 2070 SSD 1Tb NVMe RAM 32Gb;0;0;0;0
MSI Stealth 15M  (Laptop Gamer) Intel 11ª geração i7-11375H tela 15' FHD Nvidia RTX 3060 SSD 2Tb RAM 64Gb;0;0;0;0
Notebook 15,6pol Dell Gaming G3 3590-U20P (Core i5 9300H, 8GB DDR4, SSD 512GB NVME, GTX 1650 4GB, Linux);0;0;0;0
PC Gamer Intel 9ª Geração i7 9700K 4.9Ghz 8 Núcleos Placa ASUS 16GB DDR4 16GB Memória Intel Opane SSD 120GB HD 2TB Geforce RTX 2060 6GB 500W 80 Plus;0;0;0;0
Notebook Gamer Asus F570ZD-DM387T Ryzen 5;0;0;0;0
