Livro;preco;preco_desconto;parcelas;valor_parcela
 A lenda do violeiro invejoso;44,90;30,90;2;15,45
 Alice viaja nas histórias;49,50;49,50;1;49,50
 O menino, o bilhete e o vento;45,00;35,91;1;35,91
 OBSIDIANA;24,90;22,41;1;22,41
 Arsène Lupin contra Herlock Sholmes;41,40;37,26;1;37,26
 As cores de Corina;44,90;44,90;1;44,90
 O Bom Dinossauro;115,00;59,90;3;19,97
 O enigma de Blackthorn;52,00;33,85;1;33,85
 Sexta-feira o rabino acordou tarde;54,90;43,90;1;43,90
 Canção de Susannah;64,90;39,00;2;19,50
 O Mundo de Lore: Criaturas Estranhas;48,97;48,97;1;48,97
 Arsène Lupin e a rolha de cristal;12,14;10,93;1;10,93
 Uma fada veio me visitar;25,00;12,50;1;12,50
 Não abra este livro...Sério;29,90;26,91;1;26,91
 Atraído;52,90;49,20;1;49,20
 Garotas de neve e vidro;54,90;38,54;1;38,54
 colecao ii;49,90;33,24;1;33,24
 Bruxas Literárias: Alquimia das Palavras;59,90;50,14;1;50,14
 Realidades adaptadas;38,67;34,80;1;34,80
 Um negocio mortal;40,00;17,25;1;17,25
 Filho dourado;59,90;59,90;1;59,90
 Cidade de vidro (Vol.3 Os Instrumentos Mortais);54,90;29,80;1;29,80
 Arsène Lupin e o estilhaço de obus;14,90;13,41;1;13,41
 Aventuras Estranhas;39,90;39,90;1;39,90
 O dominador (Vol. 2);44,90;28,90;1;28,90
 Box House of Night - Slim;107,91;97,12;2;53,96
 A rebelde do deserto;42,90;30,42;1;30,42
 O assassinato de Verônica Dantas;35,00;24,90;1;24,90
 A torre da andorinha - The Witcher - A saga do bruxo Geralt de Rívia (Capa game);37,91;37,91;1;37,91
 Princesa mecânica (Vol. 3 As Peças Infernais);59,90;27,40;1;27,40
 Era uma Vez a Vaca Vitória, Que Caiu no Buraco e Acabou a História;35,47;31,92;1;31,92
 Saga três luas - Livro 1: Lua azul;44,90;31,40;1;31,40
 O Pequeno Príncipe;25,14;25,14;1;25,14
 O vale do terror;20,90;20,90;1;20,90
 Arsène Lupin, o ladrão de casaca;11,87;10,68;1;10,68
 O pequeno príncipe;39,90;21,90;1;21,90
 A Escola do bem e do mal Vol. 5: O cristal do tempo;42,90;42,90;1;42,90
 Procure nas cinzas;59,90;47,90;1;47,90
 O caçador de pipas;49,90;35,93;1;35,93
 Faca;64,90;44,90;2;22,45
 O mistério do Rocinante;60,80;60,80;1;60,80
 Tiros, bombas e reflexões: A estranha vocação policial;41,90;37,71;1;37,71
 Terrível encanto - Volume 1;29,50;16,90;1;16,90
 O último dos magos;59,90;39,90;2;19,95
 A queda dos reinos;47,90;35,90;2;17,95
 Circo Mecânico Tresalti - Classic Edition;49,90;39,90;2;19,95
 Mistborn Primeira Era - O poço da ascensão (vol. 2);54,90;39,90;2;19,95
 O Médico e o Monstro;19,53;17,58;1;17,58
 Os olhos da escuridão;44,90;27,90;1;27,90
 Um céu além da tempestade (Vol. 4 Uma chama entre as cinzas);41,42;37,28;1;37,28
 As crônicas de Nárnia - Príncipe Caspian;21,90;19,71;1;19,71
 A punição de Bourne;59,00;25,90;1;25,90
 Alerta negro;69,90;55,92;1;55,92
 A espada do destino - The Witcher - A saga do bruxo Geralt de Rívia (capa dura);64,90;45,90;3;15,30
 Novembro de 63;99,90;79,90;2;39,95
 Mar de Tinta e Ouro: A Oradora;41,90;41,90;1;41,90
 O silêncio da chuva;41,93;41,93;1;41,93
 O Livro Branco perdido (Edição de colecionador - Vol. 2 As Maldições Ancestrais);59,90;40,45;2;20,23
 Solomon Kane;54,90;29,90;1;29,90
 O sangue dos elfos - The Witcher - A saga do bruxo Geralt de Rívia;49,90;28,90;1;28,90
 Fallen (Capa do filme);39,90;23,90;1;23,90
 Dungeons & Dragons;49,90;44,91;1;44,91
 Selada com sangue;39,90;39,90;1;39,90
 A Guerra da Rainha Vermelha - Vol. 1: Prince of Fools;64,90;49,90;3;16,63
 Enquanto bela dormia;44,90;38,39;1;38,39
" Dipper e Mabel em ""A maldição do tesouro dos piratas do tempo""";39,90;35,91;1;35,91
 A prisão do rei;44,90;31,86;1;31,86
 Não Abra Este Livro... Novamente;39,90;27,90;1;27,90
 A fera dos mares;44,12;44,12;1;44,12
 Jogador Número Um;69,90;40,41;1;40,41
 Eragon;49,90;35,46;1;35,46
 A estrela do diabo;59,90;55,71;1;55,71
 Princesas - Hora do Banho;29,90;29,90;1;29,90
 Histórias de horror e mistério;49,90;34,90;1;34,90
 Um corpo na biblioteca;44,90;31,90;2;15,95
 A fada mamãe e eu (Vol.1);44,90;26,20;1;26,20
 Fallen (Vol. 1);37,91;37,91;1;37,91
 Um anjo de mochila azul;28,25;25,43;1;25,43
 Eterna união;55,90;55,90;1;55,90
 Recursão;69,90;34,80;2;17,40
 Este livro está te chamando (não ouve?);48,00;34,11;1;34,11
 O Bruxo - The Witcher (capa dura);99,90;62,90;2;31,45
 Assassin’s Creed: Heresia;54,90;25,90;1;25,90
 Os desejos da Bela Adormecida;29,50;20,90;1;20,90
 Cavalo de troia 5 - Cesareia 2º edição;44,90;40,41;1;40,41
 A mulher na cabine 10;34,70;34,70;1;34,70
 A máquina fantabulástica;58,70;53,45;1;53,45
 A queda dos anjos (Vol. 1 Fim dos dias);59,90;31,90;2;15,95
 Arsène Lupin e os enigmas;12,14;10,93;1;10,93
 O sangue dos elfos - The Witcher - A saga do bruxo Geralt de Rívia (capa dura);64,90;45,40;3;15,13
 Mistborn Segunda Era - As sombras de si mesmo;54,90;29,90;1;29,90
 Filhos do Éden: Universo Expandido;99,90;64,90;4;16,23
 O Poço e o Pêndulo;19,55;17,60;1;17,60
 Histórias Para Crianças...1 ano;29,50;27,44;1;27,44
 As portas da percepção;49,90;35,03;1;35,03
 Guerra Mundial Z;36,00;17,90;1;17,90
 O triturador;41,42;41,42;1;41,42
 O espadachim de carvão  e as pontes de Puzur;16,90;15,21;1;15,21
 A Menina Que Odiava Livros;29,83;29,83;1;29,83
 O reino de Zália;30,25;30,25;1;30,25
 O olho de Lilith;26,47;26,47;1;26,47
 EntreMundos;29,50;29,50;1;29,50
 Fundação e Terra;64,90;45,56;1;45,56
 Box Trilogia da Fundação;169,90;152,91;4;38,23
 Gravity Falls: Feliz Summerween! / A loja de conveniência... do horror!;39,90;35,91;1;35,91
 Os Incríveis 2 – De Volta à Ação;115,00;53,91;1;53,91
 Sangue Revolto;66,25;59,63;2;33,13
 Território Lovecraft (Lovecraft Country);64,90;29,40;1;29,40
 Magisterium: A máscara de prata (Vol. 4);54,90;25,90;1;25,90
 Inocência Mortal (Vol. 24);44,93;44,93;1;44,93
 Parem a Ivy Pocket;49,90;23,90;1;23,90
 Anjos partidos (Vol. 2 Carbono alterado);59,90;34,90;2;17,45
 A senhora do lago - The Witcher - A saga do bruxo Geralt de Rívia (ca;84,90;56,50;3;18,83
 1935;45,00;29,77;1;29,77
 A memória do mar;39,90;35,91;1;35,91
 Cidade das almas perdidas (Vol.5 Os Instrumentos Mortais);54,90;34,90;2;17,45
 O treinamento (Vol. 3);44,90;23,90;1;23,90
 A garota do calendário: Janeiro;34,90;22,90;1;22,90
 Crônica do Pássaro de Corda;74,90;44,90;2;22,45
 O lado escuro da madrugada;34,90;18,85;1;18,85
 Histórias de ficção científica;16,90;15,21;1;15,21
 A rainha vermelha;42,90;40,76;1;40,76
 Resident Evil: O capítulo final;40,00;23,90;1;23,90
 Depois do funeral;39,90;27,99;1;27,99
 O silêncio da chuva;59,90;47,92;1;47,92
 O Serviço de Entregas Monstruosas;49,90;38,60;2;19,30
 A submissa (Vol. 1);44,90;28,90;1;28,90
 O Pequeno Príncipe;8,90;8,01;1;8,01
 Rainha;29,90;26,91;1;26,91
 Tempo de Tempestade - The Witcher - A Saga do Bruxo Geralt de Rivia - Prelúdio;49,90;34,90;2;17,45
 Monalisa Overdrive;54,90;29,90;1;29,90
 O lorde que eu abandonei (Segredos da Charlotte Street – Livro 3);39,90;27,10;1;27,10
 Punição para a inocência;44,90;28,90;1;28,90
 Quadribol através dos séculos;44,90;23,90;1;23,90
 Um anjo de mochila azul;42,00;29,48;1;29,48
 O coração da esfinge (Deuses do Egito – Livro 2);54,90;15,90;1;15,90
 O sono eterno;33,54;33,54;1;33,54
 O chamado do cuco;27,90;27,90;1;27,90
 Êxtase (Vol. 4 Fallen);54,90;32,90;2;16,45
 Auguste Dupin;39,90;28,37;1;28,37
 Lua branca;39,90;23,90;1;23,90
 Cidade das cinzas (Vol.2 Os Instrumentos Mortais);54,90;34,90;2;17,45
 Hoje é dia de marias;27,90;27,90;1;27,90
 O dilema;20,00;18,60;1;18,60
 D`Votion 2;44,90;44,90;1;44,90
 Noite sem fim;44,90;29,60;1;29,60
 V.03 - Circulos De Chuva - Leya;29,90;27,81;1;27,81
 As águas-vivas não sabem de si;39,90;34,12;1;34,12
 O MENINO NA PONTE;69,90;35,90;2;17,95
 Confusões & calafrios;59,00;59,00;1;59,00
 Princesinha Sofia;69,00;43,90;2;21,95
 O habitante da escuridão e outros contos;22,90;22,90;1;22,90
 A descoberta das bruxas;47,29;47,29;1;47,29
 Crime e castigo;99,90;64,90;2;32,45
 2001: Uma Odisseia no Espaço;32,90;32,90;1;32,90
 COMO SURGIU O NATAL?;74,90;46,90;3;15,63
 Frozen;69,00;41,90;2;20,95
 Os pescadores;49,90;29,90;1;29,90
 Tudo é eventual;44,21;44,21;1;44,21
 Your name;34,35;34,35;1;34,35
 A caçadora de dragões;47,90;35,92;2;17,96
 Coleção Agatha Christie - Box 3;89,90;83,61;2;44,95
 Star Wars: Ahsoka;54,90;38,54;1;38,54
 As crônicas de Nárnia - volume único;40,00;40,00;1;40,00
 Corvos de Odin;29,50;13,90;1;13,90
 Cada Um Na Sua Casa;69,00;41,90;1;41,90
 Trolls 2 - Estilos Musicais;78,78;78,78;1;78,78
 Um lugar perigoso;54,90;37,90;2;18,95
 Os crimes do monograma;18,89;18,89;1;18,89
 Memórias de Sherlock Holmes;13,90;12,51;1;12,51
 Os pergaminhos vermelhos da magia (Vol. 1 As maldições ancestrais) - Edição de colecionador;37,91;34,12;1;34,12
 A revolta das águas;48,88;48,88;1;48,88
Detalhe menor;54,90;39,03;1;39,03
Kit Livros Box Harry Potter + Livro;429,80;209,67;12;18,39
 Os Cavaleiros dos Dinossauros;59,90;51,21;1;51,21
 A Senhora do lago - The Witcher - A saga do bruxo Geralt de Rívia (Capa clássica);74,90;46,90;1;46,90
 Mistborn Segunda Era: Os braceletes da perdição - Volume 3;59,90;39,06;1;39,06
 As crônicas de Nárnia - O cavalo e seu menino;25,90;22,02;1;22,02
 Batismo de fogo - The Witcher - A saga do bruxo Geralt de Rívia (Capa game);37,91;37,91;1;37,91
 Minnie;99,00;35,90;2;17,95
 Arsène Lupin e Victor, da Brigada Anticrime;19,90;13,90;1;13,90
 A realidade dos sete;27,90;27,90;1;27,90
 Os bilhões de Arsène Lupin;10,82;9,74;1;9,74
 As margens da ficção;41,98;37,78;1;37,78
 Berenice procura;54,90;43,92;1;43,92
 Um passo atrás;62,90;44,64;1;44,64
 Assassinato no campo de golfe;49,90;35,60;2;17,80
 Eu sou Eric Zimmerman;54,90;34,90;2;17,45
 A verdade oculta;34,90;25,13;1;25,13
 Gravity falls: um verão de mistérios;44,90;40,41;1;40,41
 Tudo por nós dois (Vol. 3 Trilogia Bad Boys);54,90;39,53;1;39,53
 Unicórnios: meu livrinho de adesivos;39,90;28,01;1;28,01
 A carruagem da morte;31,90;31,90;1;31,90
 Sherlock e os aventureiros : O mistério dos planos roubados;22,53;22,53;1;22,53
 SEREIAS: VESTINDO MINHAS AMIGAS (NOVA EDIÇÃO);49,90;35,93;1;35,93
 Sherlock e os aventureiros : O mistério dos planos roubados;22,53;22,53;1;22,53
 O nome da rosa (edição de bolso);49,90;30,90;2;15,45
 O redentor;59,90;51,22;1;51,22
 Morte no Nilo HQ;34,94;31,45;1;31,45
 365 Histórias aconchegantes;21,00;19,53;1;19,53
 Palavra mortal, A;49,90;35,03;1;35,03
 Clássicos Inesquecíveis;42,52;42,52;1;42,52
 Encantados;32,37;32,37;1;32,37
 Assassin’s Creed: Valhalla;62,90;41,10;2;20,55
 O livro das palavras;54,10;54,10;1;54,10
 Anjo mecânico (Vol. 1 As Peças Infernais);59,90;34,90;2;17,45
 O Último Segredo;29,90;5,38;1;5,38
 Cinco semanas em um balão;12,31;11,08;1;11,08
 Espada de vidro;42,90;38,61;1;38,61
 Chronos: Fragmentos do Tempo;64,90;49,90;3;16,63
 Ecos;59,90;59,90;1;59,90
 Box O castelo animado;139,90;119,62;4;33,23
 A garota do calendário: Setembro;27,46;27,46;1;27,46
 Mickey Aventura Sobre Rodas - Hora do banho;31,90;31,90;1;31,90
 A garota do calendário: Outubro;34,90;15,90;1;15,90
 Dezessete luas (Vol. 2);36,90;31,37;1;31,37
 Sangue Revolto (CAPA DURA);107,26;96,53;3;35,75
 LEGO STAR WARS: AVENTURAS ESPACIAIS;44,90;31,90;1;31,90
 Estranheza mortal (Vol. 26);59,90;34,90;2;17,45
 Cruella;54,90;34,90;1;34,90
 Vocação para o mal;39,50;27,90;1;27,90
 A tormenta de espadas;94,90;75,90;5;15,18
 Aru Shah e o Fim dos Tempos;49,90;32,90;2;16,45
 Conquistada até terça (Vol. 5 Noivas da Semana);44,90;21,00;1;21,00
 A floresta sombria;67,90;46,90;3;15,63
 O mistério do carneiro de ouro;49,90;35,03;1;35,03
 Meu diário (secreto) de anotações do Gravity Falls;39,99;39,99;1;39,99
 Delírio;36,80;33,12;1;33,12
 O menino e o grifo;44,00;31,28;1;31,28
 Rainha de copas;39,90;34,12;1;34,12
 Tiger Lily;31,49;31,49;1;31,49
 Stepsister: A história da meia irmã da cinderela;24,90;22,41;1;22,41
 Tormenta (Vol. 2 Fallen);54,90;39,90;2;19,95
 O livro mágico de feitiços: Star X Forças do mal;60,02;60,02;1;60,02
 Garotos de lugar nenhum;39,50;17,90;1;17,90
 Alice no país das maravilhas;22,88;10,30;1;10,30
 O Menino Marrom;34,31;34,31;1;34,31
 O morcego;59,90;37,90;2;18,95
 A libertação da Bela;29,50;20,90;1;20,90
 O detetive das sombras;39,00;39,00;1;39,00
 Box Arsène Lupin - Artimanhas;79,90;51,90;1;51,90
 A Rosa Branca (Vol. 3 Companhia Negra);59,90;9,90;1;9,90
 As crônicas de Bane;69,90;49,90;3;16,63
 Porém bruxa;44,90;44,90;1;44,90
 Dezoito luas (Vol. 3);44,93;44,93;1;44,93
 As serpentes de Thor;39,90;18,90;1;18,90
 Cidade da Lua Crescente: Casa de terra e sangue (Vol. 1);69,90;59,77;2;33,21
 As crônicas de Nárnia - A viagem do peregrino da alvorada;21,90;19,71;1;19,71
 Chronos: Limites do Tempo;64,90;44,90;2;22,45
 Adesivos Fofinhos – Mickey Aventuras Sobre Rodas;47,00;19,50;1;19,50
 Bernardo e o segredo da princesa de cristal;41,00;29,15;1;29,15
 Fortaleza digital;49,90;44,91;1;44,91
 Mundo em Caos;59,90;39,90;2;19,95
 Voto de sangue;29,90;26,91;1;26,91
 A Inquisição (Vol. 2 Conjurador);54,90;30,90;2;15,45
 Cachinhos Dourados;45,00;26,90;1;26,90
 Crenças e Criaturas;49,90;34,90;1;34,90
 Cidades de dragões;34,50;19,90;1;19,90
 O sangue dos elfos - The Witcher - A saga do bruxo Geralt de Rívia (Capa game);49,90;34,90;2;17,45
 A reforma da natureza;54,90;39,90;2;19,95
 Apenas por uma noite;24,90;17,90;1;17,90
 A garota do calendário: Agosto;34,90;15,90;1;15,90
 A garota do calendário: Novembro;29,90;18,68;1;18,68
 Cinza, carvão, fumaça e quatro pedras de gelo;49,90;28,90;1;28,90
 Espada de vidro;39,90;30,51;1;30,51
 Poeira Lunar;32,90;32,90;1;32,90
 ficçao, historia, mito - Mackenzie;48,00;48,00;1;48,00
 A dama da internet;40,92;40,92;1;40,92
 Linha cruzada;83,90;83,90;1;83,90
 Novo conceito;39,89;35,90;1;35,90
 Placebo;39,90;35,91;1;35,91
 Cordeluna;62,00;62,00;1;62,00
 The Killing II;89,90;89,90;1;89,90
 As crônicas de Nárnia - volume único;99,90;69,00;2;34,50
 Os guardiões da ordem;42,48;39,51;1;39,51
 Fantasia mortal;41,90;41,90;1;41,90
 Mitólogia Nórdica;20,00;20,00;1;20,00
 Mão de Ferro;59,90;23,90;1;23,90
 Levana;34,50;15,90;1;15,90
 Voltar para Mim;69,90;45,90;1;45,90
Livro Kit As Aventuras de Arsène Lupin  Maurice Leblanc;114,90;106,86;3;38,30
 O fecho;41,08;41,08;1;41,08
 aspectos da ficcao brasileira contemporanea - Mercado de letras;59,00;59,00;1;59,00
 A garota do calendário: Junho;34,90;18,90;1;18,90
 Star Wars - Darth Bane: Dinastia do mal;28,00;26,04;1;26,04
 Six of crows;46,70;42,03;1;42,03
 Star Wars : Tarkin;49,90;28,75;1;28,75
 O Senhor dos Anéis: O retorno do rei;69,90;39,90;1;39,90
 O desaparecido;49,90;44,91;1;44,91
 A máquina do tempo;16,90;16,90;1;16,90
 Assassinos sem rosto;59,90;51,22;1;51,22
 Desejada - Pocket;29,90;25,57;1;25,57
 O retorno de Arsène Lupin;11,26;10,13;1;10,13
 Viagem ao centro da Terra;14,90;9,93;1;9,93
 O Hobbit + Pôster;39,00;35,10;1;35,10
 A Lagoa Encantada;47,00;31,90;2;15,95
 A mais Bela de todas: A história da rainha má;34,90;31,41;1;31,41
 O nascimento;12,49;11,24;1;11,24
 Bluebird, Bluebird: Amor, justiça e tensão racial no coração do Texas;49,80;34,27;1;34,27
 SCARLET-CRÔNICAS LUNARES LIVRO 2 - SELO NOVO;49,77;44,79;1;44,79
 Dungeons & Dragons;39,90;35,91;1;35,91
 A transparência do tempo;40,94;40,94;1;40,94
 Arsène Lupin;44,90;44,90;1;44,90
Nightflyers;47,90;39,88;1;39,88
Rute;43,90;39,51;1;39,51
 Guerreiros do Universo Paralelo;50,00;37,37;1;37,37
 Coleção Mundo Nerd;159,90;121,76;3;43,64
 ATLAS GALACTICO STAR WARS;129,90;116,91;3;43,30
 Peculiar Editora;34,90;31,41;1;31,41
 OBSIDIANA;39,90;35,91;1;35,91
 Enquanto bela dormia;19,90;14,33;1;14,33
 A Máquina Peluda;42,00;35,15;1;35,15
 Trilogia The Game, Vol. 1: O Jogo;48,97;48,97;1;48,97
 O Olho Vesgo;28,00;18,52;1;18,52
 O Menino da Terra;34,31;34,31;1;34,31
 Sonhos Elétricos;54,90;38,90;1;38,90
 O Legado da Ruína volume 2;50,00;29,90;1;29,90
 Bartleby, o Escrevente;20,23;18,21;1;18,21
 As idades de Lulu;34,35;34,35;1;34,35
 Delinquente argentino;37,47;37,47;1;37,47
 Imaculada (Vol. 2 A Legião);37,91;37,91;1;37,91
 A Máquina do Tempo;25,13;22,62;1;22,62
 Doadores de sono;29,90;26,91;1;26,91
 Casa de Pensão;48,80;34,70;1;34,70
 A Fazenda Blackwood;34,42;34,42;1;34,42
 Dartana;40,81;40,81;1;40,81
 The african mask- Beginner;58,00;38,63;1;38,63
 Box Série Completa Detetive Erika Foster - Robert Bryndza;162,15;145,94;2;81,08
 A Fábrica de robôs [Bolso];49,00;49,00;1;49,00
 Um vento à porta;22,08;22,08;1;22,08
 O fantasma da mãe;44,90;35,90;1;35,90
 A festa secreta da princesa;20,11;20,11;1;20,11
 Hora zero;29,90;17,90;1;17,90
 Vingança (Vol. 6);44,93;44,93;1;44,93
 Aventura em Bagdá;21,44;21,44;1;21,44
 As aventuras de Sherlock Holmes;28,90;21,68;1;21,68
 Herdeiro de Asgard;23,63;23,63;1;23,63
 O beijo da meia noite;19,90;17,91;1;17,91
 Mistério no Caribe;39,90;27,99;1;27,99
 O caso do hotel Bertram;31,56;31,56;1;31,56
 Uma dose mortal;25,90;24,09;1;24,09
 Amor no ninho;39,39;27,90;1;27,90
 Os Testamentos;54,90;40,41;1;40,41
 Beren e Lúthien;59,90;38,90;2;19,45
 4 Volumes;83,20;67,50;2;37,50
 A fablehaven. Ascensão da estrela vespertina;29,90;25,42;1;25,42
 Ritos de passagem;49,90;46,41;1;46,41
 Tumba dos Antigos;54,90;39,03;1;39,03
 a ficcao de uberto eco;45,00;32,11;1;32,11
 Confissões;29,90;25,57;1;25,57
 Juntos para sempre;34,90;31,41;1;31,41
 A profecia do Paraíso;48,90;34,33;1;34,33
Sinuca de malandro: ficcao e autobiografia em joao;36,16;36,16;1;36,16
 UNICÓRNIOS: LIVRO COM QUEBRA-CABEÇA;69,90;50,33;1;50,33
 Bruto e apaixonado;25,18;25,18;1;25,18
 O Namorado da Fada ou O Menino de Urano;57,00;31,90;2;15,95
 O anjo e a vampira;18,99;17,66;1;17,66
 Arsène Lupin contra Herlock Sholmes;11,87;10,68;1;10,68
 A ilha do Dr. Moreau;14,83;13,35;1;13,35
 Os Inconfidentes;11,90;10,71;1;10,71
 A mais Bela de todas: A história da rainha má;34,90;29,84;1;29,84
 Chronos: Viajantes do Tempo;54,90;43,92;1;43,92
 Histórias fantásticas e de medo;36,90;33,21;1;33,21
 Cidade dos ossos e Cidade das cinzas (Edição de colecionador – 2 em 1);109,90;93,97;3;34,80
 O homem cobra;27,90;27,90;1;27,90
 A mais Bela de todas: A história da rainha má;34,90;31,41;1;31,41
 Faca na Garganta;9,90;8,91;1;8,91
 A ilha;27,00;12,90;1;12,90
 A volta de Sherlock Holmes;49,90;34,90;1;34,90
 coleção ii;49,90;32,90;1;32,90
 Inferno (Ilustrado);69,90;69,90;1;69,90
 Inimigos públicos;41,08;41,08;1;41,08
 Quadribol através dos séculos;44,90;40,41;1;40,41
 Os demônios de Deus;34,70;34,70;1;34,70
